_id,timeStampID,rssiLVNGRM,rssiBDRM,rssiKTCHN
ObjectId(61ab8b14cdfdd67e2f6b5684),1636632000,-100,-100,-100
ObjectId(61ab8b69976889008cbf639b),1636632060,-100,-100,-100
ObjectId(61ab8bb6a3245215261db802),1636632120,-100,-100,-100
ObjectId(61ab8bb7a3245215261db803),1636632180,-100,-100,-100
ObjectId(61ab8bb7a3245215261db804),1636632240,-100,-100,-100
ObjectId(61ab8bb7a3245215261db805),1636632300,-100,-100,-100
ObjectId(61ab8bb7a3245215261db806),1636632360,-100,-100,-100
ObjectId(61ab8bb7a3245215261db807),1636632420,-100,-100,-100
ObjectId(61ab8bb7a3245215261db808),1636632480,-100,-100,-100
ObjectId(61ab8bb7a3245215261db809),1636632540,-100,-100,-100
ObjectId(61ab8bb7a3245215261db80a),1636632600,-100,-100,-100
ObjectId(61ab8bb7a3245215261db80b),1636632660,-100,-100,-100
ObjectId(61ab8bb7a3245215261db80c),1636632720,-100,-100,-100
ObjectId(61ab8bb7a3245215261db80d),1636632780,-100,-100,-100
ObjectId(61ab8bb7a3245215261db80e),1636632840,-100,-100,-100
ObjectId(61ab8bb7a3245215261db80f),1636632900,-100,-100,-100
ObjectId(61ab8bb7a3245215261db810),1636632960,-100,-100,-100
ObjectId(61ab8bb7a3245215261db811),1636633020,-100,-100,-100
ObjectId(61ab8bb7a3245215261db812),1636633080,-100,-100,-100
ObjectId(61ab8bb7a3245215261db813),1636633140,-100,-100,-100
ObjectId(61ab8bb7a3245215261db814),1636633200,-100,-100,-100
ObjectId(61ab8bb7a3245215261db815),1636633260,-100,-100,-100
ObjectId(61ab8bb7a3245215261db816),1636633320,-100,-100,-100
ObjectId(61ab8bb7a3245215261db817),1636633380,-100,-100,-100
ObjectId(61ab8bb7a3245215261db818),1636633440,-100,-100,-100
ObjectId(61ab8bb7a3245215261db819),1636633500,-100,-100,-100
ObjectId(61ab8bb7a3245215261db81a),1636633560,-100,-100,-100
ObjectId(61ab8bb7a3245215261db81b),1636633620,-100,-100,-100
ObjectId(61ab8bb7a3245215261db81c),1636633680,-100,-100,-100
ObjectId(61ab8bb7a3245215261db81d),1636633740,-100,-100,-100
ObjectId(61ab8bb7a3245215261db81e),1636633800,-100,-100,-100
ObjectId(61ab8bb7a3245215261db81f),1636633860,-100,-100,-100
ObjectId(61ab8bb7a3245215261db820),1636633920,-100,-100,-100
ObjectId(61ab8bb7a3245215261db821),1636633980,-100,-100,-100
ObjectId(61ab8bb7a3245215261db822),1636634040,-100,-100,-100
ObjectId(61ab8bb7a3245215261db823),1636634100,-100,-100,-100
ObjectId(61ab8bb7a3245215261db824),1636634160,-100,-100,-100
ObjectId(61ab8bb8a3245215261db825),1636634220,-100,-100,-100
ObjectId(61ab8bb8a3245215261db826),1636634280,-100,-100,-100
ObjectId(61ab8bb8a3245215261db827),1636634340,-100,-100,-100
ObjectId(61ab8bb8a3245215261db828),1636634400,-100,-100,-100
ObjectId(61ab8bb8a3245215261db829),1636634460,-100,-100,-100
ObjectId(61ab8bb8a3245215261db82a),1636634520,-100,-100,-100
ObjectId(61ab8bb8a3245215261db82b),1636634580,-100,-100,-100
ObjectId(61ab8bb8a3245215261db82c),1636634640,-100,-100,-100
ObjectId(61ab8bb8a3245215261db82d),1636634700,-100,-100,-100
ObjectId(61ab8bb8a3245215261db82e),1636634760,-100,-100,-100
ObjectId(61ab8bb8a3245215261db82f),1636634820,-100,-100,-100
ObjectId(61ab8bb8a3245215261db830),1636634880,-100,-100,-100
ObjectId(61ab8bb8a3245215261db831),1636634940,-100,-100,-100
ObjectId(61ab8bb8a3245215261db832),1636635000,-100,-100,-100
ObjectId(61ab8bb8a3245215261db833),1636635060,-100,-100,-100
ObjectId(61ab8bb8a3245215261db834),1636635120,-100,-100,-100
ObjectId(61ab8bb8a3245215261db835),1636635180,-100,-100,-100
ObjectId(61ab8bb8a3245215261db836),1636635240,-100,-100,-100
ObjectId(61ab8bb8a3245215261db837),1636635300,-100,-100,-100
ObjectId(61ab8bb8a3245215261db838),1636635360,-100,-100,-100
ObjectId(61ab8bb8a3245215261db839),1636635420,-100,-100,-100
ObjectId(61ab8bb8a3245215261db83a),1636635480,-100,-100,-100
ObjectId(61ab8bb8a3245215261db83b),1636635540,-100,-100,-100
ObjectId(61ab8bb8a3245215261db83c),1636635600,-100,-100,-100
ObjectId(61ab8bb8a3245215261db83d),1636635660,-100,-100,-100
ObjectId(61ab8bb8a3245215261db83e),1636635720,-100,-100,-100
ObjectId(61ab8bb8a3245215261db83f),1636635780,-100,-100,-100
ObjectId(61ab8bb8a3245215261db840),1636635840,-100,-100,-100
ObjectId(61ab8bb8a3245215261db841),1636635900,-100,-100,-100
ObjectId(61ab8bb8a3245215261db842),1636635960,-100,-100,-100
